Sample_Name,Group,AKT1,ALDH1A1,ALDH3A1,ATF4,ATF6,ATM,BACH1,BAX,BBC3,BCL2L1,CDH1,CDH2,CHEK2,CMBL,DDB1,DDIT3,EIF2AK3,ERCC1,FDXR,FOS,FOSL1,GADD45A,GAMT,GCLC,GCLM,GSTP1,HEY1,HIF1A,HMGB1,JUN,KDM5B,A,B,C,D,E,KDM5C,MCL1,KRAS,KMT2D,KMT2A,KEAP1,NFE2L2,NANOG,PMAIP1,PHLDA3,PHB,PCNA,PARP1,SERPINE2,RIPK2,RB1,SOD2,SFN,SESN2,TDGF1,STAT1,TWIST2,TP53I3,ZEB1,WNT5A,PTAFR,SNAI1,STAT3,SRC,TWIST1,TP53,TIGAR
A_C46,Group1,14.48125419,11.1429711,17.78549209,12.64348687,15.4706493,15.83289692,16.59513266,12.90816949,16.46561411,15.15993105,16.5011945,16.60042287,16.28920633,15.52783241,15.19977785,15.45557466,15.39298701,13.88796051,14.78133319,13.0345864,17.70875263,17.11528009,16.39385598,15.99262438,14.17367584,12.40269045,,11.49279395,11.83466932,16.37928904,17.31830508,10.64382,13.64882506,17.35118351,15.92903346,15.14675712,14.98848387,13.27202544,14.67870008,17.58836552,16.64093824,17.04976872,14.66864976,16.56950517,17.73141369,14.21027227,13.2285112,14.36821497,15.71341343,15.24168792,14.88818895,17.84430777,16.43258122,15.62256892,15.42015001,16.92758378,17.00293387,18.844972,15.97885737,15.81238592,16.33000095,18.21187326,17.75120491,15.73999817,15.45146674,18.17738488,12.99939813,15.79128918
A_C03,Group1,15.273967,11.4975768,21.30854043,12.38055036,14.91674035,16.57598738,15.64242253,13.21347269,17.82375884,13.78829635,,15.39306517,17.52783055,15.81150909,14.28839482,15.01666069,16.72346902,14.53620532,,10.48942615,14.17369575,17.97677298,16.89847055,17.25797449,14.00951823,12.82384225,18.91335911,11.15945325,12.0723152,16.33030547,16.77906817,10.43694512,13.42252063,16.28873675,15.14723088,14.30526168,14.93708645,12.36687213,14.52340582,15.64287972,15.6143915,16.43215645,14.17563109,16.05472091,20.96882309,14.76107975,13.43528309,14.6909099,13.84465913,18.00348654,14.36148471,18.05606052,15.39453759,17.28812804,16.39092215,17.93541238,16.9366135,19.33561855,16.8273564,14.6947353,15.52165413,20.53877697,18.13101931,14.72119446,16.38597367,17.55962826,13.29658348,15.50280041
A_C91,Group1,15.43634548,11.24673645,11.75713876,12.38197916,15.72941554,15.77355375,15.93782005,12.91524717,16.60475639,13.30818631,19.42126341,15.23795222,17.27660973,15.80305674,14.70977749,17.28809972,15.90089467,14.45403373,13.85527097,14.22229716,14.77669471,15.11432364,16.61412074,16.51018606,13.46238814,13.52290578,19.03213506,11.64191326,12.61552291,16.59948516,16.62476968,10.11233661,11.61594454,16.68031854,15.50566108,14.73842336,15.31294416,13.38448247,15.75528499,15.94171396,15.88539059,15.80417434,14.05023409,15.96391038,18.8729845,13.3222942,13.83118594,13.21372259,14.55556127,16.79697695,14.20477008,19.19662786,15.14830812,18.08796651,15.13835652,17.52435635,16.24092557,17.1426883,14.48839098,15.54927049,14.03244335,19.00951488,15.26175228,16.1242676,15.00269745,,13.02901675,15.72577684
A_C54,Group1,15.02444467,12.33512218,13.73265297,12.15803142,15.14984503,16.75970816,17.29956707,13.16351958,17.67780576,12.36763344,18.15508276,15.45598433,15.49489423,16.10088255,15.38453972,15.95704025,16.75914124,14.0220231,15.18616879,12.08395615,15.8391757,15.81702324,17.22012583,16.30405451,13.68690229,12.60363581,17.92313929,11.08086681,11.97350271,17.46114279,17.59102424,9.808136568,13.49243324,18.94241839,14.44835543,13.28626165,14.96719229,13.51566506,14.76189524,16.18752092,16.07474004,15.69519955,14.0220965,16.29971244,20.90260509,13.96396097,12.80034502,15.11881356,14.83746894,16.58815301,15.8043852,17.69794231,16.08251466,16.18833729,14.54242611,17.51451424,16.43155574,17.95602567,15.86116462,14.33521632,14.10344262,18.52005244,19.25321318,15.54455062,15.54822968,17.48828984,13.41955652,15.33170274
A_C92,Group1,13.58903903,11.20180507,17.03887868,12.72111561,15.58927986,15.42389415,14.9428337,14.27477009,19.29254192,13.56622837,15.6010977,14.74834526,16.24083936,15.44997729,14.33890961,16.95261304,15.87664765,14.77524121,15.66358022,11.79260034,14.73453332,17.77159254,16.73415655,16.11375925,14.24056844,12.51037109,17.34222332,11.08766825,11.90558456,18.44720876,19.10245578,10.03551319,12.05919195,16.58300271,14.40737685,15.08475994,14.23195938,12.20310613,15.04584851,16.50382172,15.93802444,15.86093167,13.81110261,16.67495599,18.14903536,14.15434178,13.74840054,15.37247947,14.43437934,17.07969427,14.90779562,19.1385862,15.42952198,17.23815896,15.98921027,17.78516058,16.14848018,17.50563136,15.46343662,15.28534006,14.19311993,18.48913165,22.09739105,14.98453976,15.13151964,19.21445144,12.29869313,16.72976405
A_C53,Group1,13.83842469,10.60083556,9.20041665,11.99854007,15.15066571,16.36353419,17.6117699,11.72875868,15.31420528,13.2368871,16.05845567,,17.27466216,14.38941616,13.68185024,15.65449225,15.38372977,13.10800664,11.98568357,15.97032888,14.76845343,14.99028736,16.59834021,14.56579312,12.49376584,11.81287365,,11.75463744,11.970507,16.92640514,14.60552921,9.968740653,13.73803702,16.60447258,14.42113193,13.64465408,14.46304913,13.07802461,15.48839102,15.42753295,15.37689952,15.55737332,14.65839871,15.95002385,22.41113737,12.48523837,12.7584342,12.17193848,14.7062893,15.93499339,16.25969104,18.10274845,15.11006155,15.26800204,14.24054359,16.59317508,13.87160383,18.27660918,12.34058326,15.47492775,18.13216609,17.07163412,,15.3647829,13.36144806,17.63486252,11.33148943,14.52325947
A_C93,Group1,14.54213504,11.01812983,11.76970062,13.09166044,15.37476289,16.6667739,16.85141583,13.25025392,17.92040703,15.02435567,17.0594676,14.79080737,18.07125771,16.20164479,14.75584966,16.41517801,16.39010896,13.85791195,15.50910983,13.52007004,14.54729645,17.4018292,17.01017278,14.0815354,13.03313439,12.54765703,19.34644945,11.26011317,12.6458507,14.90993784,18.92828485,10.69163274,14.3155236,17.77290632,14.80684909,13.96124534,15.11177753,13.63032493,15.98504854,17.56671449,16.20856867,16.17180858,15.40930594,16.23791723,20.50302345,15.08485718,13.83661502,14.25928047,14.97519581,16.65848159,16.1361422,18.92389583,16.01719933,17.6835219,17.99559649,17.48934156,16.68069774,17.94323838,16.67992731,16.41949389,16.81242849,19.47929247,19.67289717,15.0852926,15.457458,17.7114996,12.47299077,14.88671513
A_C52,Group1,15.20057697,10.87968104,18.72455724,12.96184787,16.32480141,16.58163352,18.98991057,12.75536386,16.3324657,14.4323556,16.93773949,15.5896905,18.86950568,15.46971419,14.97000049,17.50362759,19.46712242,14.91797924,14.48279225,15.14945731,14.46560694,16.77736915,17.03802736,17.26654253,14.15453049,13.34532736,20.11504504,11.62709226,12.00503994,20.12638833,17.04684515,10.72998591,13.65664777,18.2458713,14.99145811,15.35739021,14.57558334,14.09638095,15.47341318,16.52087135,15.29269945,16.3772705,15.47377626,16.95448517,21.87994646,13.64480547,14.80317437,14.57695381,15.24398409,18.36431669,15.27536394,18.00270373,15.96540176,17.80542504,15.03804384,17.25644477,17.49160108,18.82502099,15.79882474,15.91309967,14.44933404,17.94966646,17.97523669,15.06854126,15.93742188,18.88961004,12.67893097,14.1046135
A_C45,Group1,14.29342976,10.84851212,16.98178797,12.44511341,16.26685318,18.2107103,16.383289,14.51596375,17.48687583,13.82014575,20.64728917,14.73191381,17.06330253,16.41079365,14.50672325,16.57848947,17.08251471,14.5057834,16.81941202,11.61429599,14.87164685,18.28360264,18.18779537,16.73460886,14.90909355,13.49955721,19.92826006,11.14006399,12.11706009,18.90056139,17.32042474,9.897327641,13.71498297,16.50935111,14.34882588,15.27761878,14.92830416,12.59170312,15.39996825,16.22676491,16.48063017,16.93234973,14.62291501,16.58997956,17.94848858,15.1760131,14.05028905,16.09228511,14.49544906,16.67452817,15.80172478,19.54730993,15.3636585,18.2312322,16.37201478,17.40821971,16.08126019,18.85418609,16.71686437,15.97196798,14.83520466,17.86176218,,15.15182012,16.75042217,18.55483561,13.10921447,16.82418661
A_C04,Group1,14.29651181,11.31875794,22.11471654,11.86795655,15.26248983,15.61681741,17.71505984,13.88867377,19.31822896,12.72516631,19.36944848,15.04439628,15.33246737,16.33297867,14.23754647,14.34065167,16.99944674,13.91928486,17.31157283,11.72019326,14.26655437,17.81183529,15.6998365,16.98784278,13.6806071,12.08425894,19.97284997,10.57110102,11.70617518,15.48780097,16.56197802,9.977368064,14.06271682,16.70293897,13.92688647,14.73017177,14.5429489,12.19510166,15.54064601,15.74293039,16.15849302,16.14093398,14.68924858,16.27798601,20.53308509,15.34278727,12.17253496,14.83750003,13.64611768,18.03000698,14.5604546,18.85630528,16.06208187,16.73577501,14.29361298,17.21802415,16.88576989,17.27318783,14.96851115,15.31344162,14.33656985,18.0105668,17.043903,15.06588822,15.72964884,,12.12699689,15.56318582
